转债代码,市场,转债名称,最新价,涨跌额,涨跌幅,买入价,卖出价,昨收价,开盘价,最高价,最低价,成交量(股),成交额(元),成交时间
127092,深市,运机转债,310.905,-11.805,-3.658,310.900,311.205,322.710,322.711,323.355,306.800,549030,172647590,15:00:00
123187,深市,超达转债,268.6,4.482,1.697,268.600,268.605,264.118,265.270,270.000,260.940,640590,170380116,15:00:00
127103,深市,东南转债,168.214,0.214,0.127,168.214,168.246,168.000,168.100,169.997,164.501,1008213,168201370,15:00:00
113661,沪市,福22转债,137.33,-1.373,-0.99,137.275,137.388,138.703,138.700,139.800,137.091,1206970,167024296,15:00:01
127113,深市,长高转债,160.655,3.465,2.204,160.655,160.783,157.190,157.190,163.071,155.690,1036354,166960630,15:00:00
111023,沪市,利柏转债,161.932,0.113,0.07,161.489,161.579,161.819,161.800,165.339,159.368,1017430,164989964,15:00:00
127082,深市,亚科转债,138.689,-1.744,-1.242,138.689,138.690,140.433,140.290,140.665,137.811,1180127,164208586,15:00:00
110073,沪市,国投转债,106.816,0.117,0.11,106.801,106.829,106.699,106.691,106.849,106.630,1537870,164148233,15:00:01
113062,沪市,常银转债,130.201,-0.432,-0.331,130.200,130.208,130.633,130.501,130.847,129.850,1251170,162968256,15:00:00
123207,深市,冠中转债,219.244,3.944,1.832,219.200,219.244,215.300,216.440,221.048,214.440,741430,161932028,15:00:00
123109,深市,昌红转债,135.404,3.178,2.403,135.400,135.404,132.226,132.424,141.462,132.226,1191343,161734172,15:00:00
118051,沪市,皓元转债,215.57,3.825,1.806,215.392,215.948,211.745,211.317,220.500,207.367,739770,159851878,15:00:01
118012,沪市,微芯转债,151.344,-4.244,-2.728,151.235,151.359,155.588,154.900,155.000,149.650,1040480,158348763,15:00:00
113699,沪市,金25转债,161.679,-2.065,-1.261,161.600,161.700,163.744,163.367,163.588,158.622,958020,154131456,15:00:01
123213,深市,天源转债,212.297,-6.704,-3.061,212.297,212.300,219.001,218.840,221.140,211.501,692200,150177343,15:00:00
123252,深市,银邦转债,150.6,0.588,0.392,150.363,150.600,150.012,149.886,154.710,147.794,988055,149524724,15:00:00
128121,深市,宏川转债,119.5,-3.904,-3.164,119.500,119.530,123.404,124.337,125.008,119.301,1212713,148542281,15:00:00
118059,沪市,颀中转债,163.307,3.11,1.941,163.400,163.477,160.197,160.085,166.589,159.086,904360,147738909,15:00:01
123124,深市,晶瑞转2,144.346,0.346,0.24,144.346,144.387,144.000,145.728,147.586,143.000,1013506,147305237,15:00:00
128119,深市,龙大转债,75.053,-7.501,-9.086,75.050,75.053,82.554,81.879,82.350,75.000,1848464,143881584,15:00:00
113691,沪市,和邦转债,165.526,2.465,1.512,165.391,165.578,163.061,162.905,166.200,160.500,853860,140292190,15:00:00
113682,沪市,益丰转债,129.128,-0.849,-0.653,129.049,129.262,129.977,129.600,130.105,127.849,1071840,138439318,15:00:01
113698,沪市,凯众转债,163.394,-3.056,-1.836,163.250,163.282,166.450,165.001,166.666,162.230,835360,136864333,15:00:01
123253,深市,永贵转债,146.55,-3.15,-2.104,146.549,146.550,149.700,149.550,151.400,145.735,907970,135566113,15:00:00
123257,深市,安克转债,161.12,2.02,1.27,161.120,161.150,159.100,158.730,161.990,156.183,823711,131507421,15:00:00
110085,沪市,通22转债,122.548,-0.429,-0.349,122.630,122.662,122.977,122.998,123.500,122.133,1047510,128570611,15:00:01
118024,沪市,冠宇转债,126.051,0.289,0.23,126.055,126.092,125.762,125.500,127.397,125.038,1000450,126534322,15:00:00
127109,深市,电化转债,175.4,-4.318,-2.403,175.400,175.450,179.718,179.377,181.081,173.601,704834,124931859,15:00:00
127061,深市,美锦转债,100.5,1.3,1.31,100.490,100.500,99.200,99.240,100.735,99.039,1247388,124788027,15:00:00
127041,深市,弘亚转债,124.95,-3.072,-2.4,124.950,124.993,128.022,127.777,128.933,124.499,976978,123766928,15:00:00
111018,沪市,华康转债,138.851,0.786,0.569,138.650,138.827,138.065,138.300,141.500,137.241,885280,123375283,15:00:01
118052,沪市,浩瀚转债,153.403,5.459,3.69,153.245,153.500,147.944,149.944,154.999,148.160,807720,123263015,15:00:00
110093,沪市,神马转债,120.391,-0.947,-0.78,120.377,120.449,121.338,121.590,121.795,119.723,1013650,122543701,15:00:01
123076,深市,强力转债,138.4,-0.218,-0.157,138.399,138.400,138.618,138.370,139.790,136.612,876246,121202672,15:00:00
123266,深市,博士转债,153.0,4.4,2.961,152.999,153.000,148.600,148.000,153.771,148.000,772252,117203525,15:00:00
118011,沪市,银微转债,146.611,-0.049,-0.033,146.483,146.659,146.660,146.650,149.048,144.001,798400,117154454,14:59:59
128108,深市,蓝帆转债,107.399,-0.141,-0.131,107.393,107.399,107.540,107.541,107.612,107.345,1082347,116254077,15:00:00
127047,深市,帝欧转债,169.99,2.14,1.275,169.888,169.990,167.850,167.750,173.618,164.592,671112,114112026,15:00:00
118042,沪市,奥维转债,146.443,-1.899,-1.28,146.475,146.480,148.342,147.000,151.000,145.791,761570,112947088,15:00:01
127108,深市,太能转债,138.109,-0.631,-0.455,138.109,138.110,138.740,138.948,139.407,137.500,815127,112814289,15:00:00
110099,沪市,福能转债,147.74,2.0,1.372,147.627,147.985,145.740,145.740,149.130,144.830,764780,112655951,15:00:00
123149,深市,通裕转债,138.147,-0.326,-0.235,137.887,138.147,138.473,138.008,139.137,136.976,804763,111025370,15:00:00
127026,深市,超声转债,136.295,-1.706,-1.236,136.294,136.295,138.001,137.611,139.910,135.100,799707,110082046,15:00:00
123216,深市,科顺转债,138.081,-1.074,-0.772,138.017,138.081,139.155,139.290,139.676,137.177,782624,108452597,15:00:00
127078,深市,优彩转债,159.555,3.313,2.12,159.458,159.555,156.242,154.947,161.145,154.601,672670,106973421,15:00:00
111004,沪市,明新转债,139.898,-1.83,-1.291,139.788,139.982,141.728,141.008,141.778,139.020,759480,106550117,15:00:00
123183,深市,海顺转债,143.945,1.06,0.742,143.585,143.945,142.885,142.810,144.232,142.081,737735,105759290,15:00:00
113058,沪市,友发转债,136.327,-0.359,-0.263,136.327,136.389,136.686,136.500,137.750,135.820,760110,103893889,15:00:01
127064,深市,杭氧转债,149.635,-0.366,-0.244,149.635,149.650,150.001,149.560,152.577,147.921,691559,103837106,15:00:00
113680,沪市,丽岛转债,150.152,-0.033,-0.022,150.112,150.207,150.185,149.200,152.392,149.128,685200,103579505,15:00:01
118039,沪市,煜邦转债,152.049,-4.731,-3.018,151.643,151.900,156.780,155.688,156.000,150.700,668340,102312577,15:00:00
111024,沪市,澳弘转债,173.957,2.62,1.529,174.000,174.050,171.337,172.286,176.631,168.999,580000,100613227,15:00:00
118065,沪市,艾为转债,153.004,2.286,1.517,153.000,153.100,150.718,150.773,153.429,149.704,637410,97070182,15:00:01
123211,深市,阳谷转债,181.308,-1.562,-0.854,181.308,181.309,182.870,183.500,185.000,178.800,531050,96726060,15:00:00
113696,沪市,伯25转债,138.353,0.202,0.146,138.213,138.415,138.151,137.500,139.990,137.451,693440,96312337,14:59:59
123092,深市,天壕转债,135.11,2.123,1.596,135.100,135.120,132.987,133.519,136.500,132.726,713581,96199356,15:00:00
118035,沪市,国力转债,145.089,1.178,0.819,144.826,145.321,143.911,143.500,147.140,142.608,659060,95798266,15:00:00
113659,沪市,莱克转债,135.504,-1.129,-0.826,135.241,135.524,136.633,136.633,137.050,134.818,697270,94590556,15:00:01
128129,深市,青农转债,107.613,0.013,0.012,107.612,107.613,107.600,107.582,107.663,107.553,878879,94574812,15:00:00
118066,沪市,统联转债,151.248,2.215,1.486,151.199,151.200,149.033,151.000,152.380,147.706,625360,94199402,15:00:01
127034,深市,绿茵转债,140.1,0.092,0.066,140.100,140.133,140.008,140.273,141.000,138.368,662635,92629937,15:00:00
113649,沪市,丰山转债,143.306,1.302,0.917,143.309,143.371,142.004,141.508,144.999,140.849,631620,90709760,14:59:59
110086,沪市,精工转债,127.8,-1.766,-1.363,127.708,127.797,129.566,129.250,130.195,127.698,704140,90662693,15:00:00
113640,沪市,苏利转债,135.651,-0.404,-0.297,135.595,135.700,136.055,136.130,136.702,135.137,662870,90258341,15:00:00
110087,沪市,天业转债,134.439,-1.337,-0.985,134.327,134.608,135.776,136.058,136.280,134.300,645460,87366172,15:00:00
123119,深市,康泰转2,126.669,-1.33,-1.039,126.669,126.765,127.999,127.850,128.468,126.402,677014,86139875,15:00:00
123198,深市,金埔转债,141.26,-0.226,-0.16,141.200,141.260,141.486,141.000,142.899,140.220,599662,84850627,15:00:00
111022,沪市,锡振转债,160.902,3.66,2.328,160.712,161.062,157.242,157.614,164.190,156.023,519110,83433956,15:00:01
113650,沪市,博22转债,130.797,0.385,0.295,130.712,130.805,130.412,130.264,131.847,129.787,631910,82790744,15:00:00
113655,沪市,欧22转债,129.287,-1.476,-1.129,129.257,129.458,130.763,130.300,130.400,128.647,634910,82289549,15:00:00
113646,沪市,永吉转债,159.787,-1.119,-0.695,159.879,159.899,160.906,161.547,164.848,159.000,507010,82285159,15:00:00
